f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
882,497,385,99478,41796,57682,50430,13542,36888,444.37903,5901717.5,88100,49900,0
76,40,36,14534,9082,5452,10340,6844,3496,467.97382,5845745,7500,4900,0
159,83,76,26554,15090,11464,17796,10444,7352,500.57465,5142588.5,15800,10100,0
74,35,39,32180,3790,28390,28054,1778,26276,514.91876,5052273,7300,2500,0
67,31,36,13042,7198,5844,9348,5468,3880,933.786,409036800,6600,4100,0
65,29,36,16510,3750,12760,12928,2124,10804,1338.6733,393241344,6300,3500,100
74,36,38,32186,3850,28336,28054,1778,26276,1326.5815,374797696,7300,2500,0
51,25,26,10860,2552,8308,8030,1134,6896,1296.3413,363109600,5000,2300,0
46,21,25,10910,2312,8598,8374,1134,7240,1282.7224,354036640,4500,2300,0
44,21,23,7722,2900,4822,5294,1722,3572,1280.3464,345719072,4300,2600,100
96,51,45,12760,5714,7046,7468,2864,4604,1252.8319,325629600,9500,6400,0
238,136,102,34138,14278,19860,21114,6770,14344,1183.7147,282732032,23700,14600,0
397,224,173,86310,20772,65538,64332,8148,56184,1104.0702,231927456,39600,27100,0
26,12,14,3292,1320,1972,1560,520,1040,1065.1694,229854976,2500,1200,0
28,13,15,3440,1394,2046,1560,520,1040,357.5,129091.25,2600,1200,0
103,48,55,12489,7043,5446,6791,4323,2468,1017.6479,2745081.8,10200,5300,0
86,30,56,11599,5963,5636,6927,4323,2604,1180.3265,1969782.8,8500,5400,0
26,12,14,3292,1320,1972,1560,520,1040,1153.0321,1825267.4,2500,1200,0
25,11,14,3142,1178,1964,1472,436,1036,1082.976,1706091.6,2200,1100,200
31,15,16,4597,2289,2308,2535,1291,1244,1008.99567,1584544.5,3000,1700,0
61,25,36,8511,4623,3888,5159,3235,1924,974.0815,1388839.5,5800,3600,300
92,37,55,11573,6127,5446,6535,4067,2468,1358.8485,44018188,9100,5300,0
26,12,14,3292,1320,1972,1560,520,1040,1623.4987,41625792,2500,1200,0
98,34,64,12721,6277,6444,7359,4415,2944,1569.1235,35699508,9700,6200,0
85,31,54,11415,6023,5392,6791,4323,2468,1530.7686,31578444,8400,5200,0
32,20,12,1896,1200,696,0,0,0,2895494.5,1210495330000000,1200,0,1000
25,12,13,3242,1336,1906,1576,536,1040,5481040.5,1165251740000000,2400,1200,0
27,12,15,3370,1320,2050,1560,520,1040,5274929.5,1123266490000000,2600,1200,0
105,48,57,12493,6803,5690,6687,4083,2604,4799242,973394280000000,10400,5500,0
26,12,14,3292,1320,1972,1560,520,1040,4402271,943916370000000,2500,1200,0
42,19,23,6041,3475,2566,3715,2411,1304,4227445,899346960000000,4100,2400,0
26,12,14,3012,1204,1808,1560,520,1040,4065977.8,874123760000000,2500,1200,0
26,12,14,3292,1320,1972,1560,520,1040,3951448,850276290000000,2500,1200,0
26,12,14,3292,1320,1972,1560,520,1040,3843197.5,827695030000000,2500,1200,0
24,11,13,4117,2367,1750,2787,1747,1040,3745264.2,808182590000000,2300,1100,0
33,19,14,1952,1140,812,0,0,0,5606480,1666754270000000,1400,0,900
26,12,14,3292,1320,1972,1560,520,1040,7340909.5,1626975220000000,2500,1200,0
